smiles,zinc_id,minimal_disttoref,consensus_sars,tox_counts,ct_tox
S=C(NN=C1CCOc2cc(Br)ccc21)Nc1ccccn1,ZINC000774584704,0.581818,0.807310,7,0.051061
C#Cc1cccc(NC(=S)NN=Cc2cn3ccc(Br)cc3n2)c1,ZINC000811641084,0.608696,0.807267,5,0.085788
S=C(Nc1cnc2ccccc2c1)NC(c1ccccc1)c1ccccc1,ZINC001244782435,0.647059,0.807265,3,0.054198
S=C(NN=Cc1cn2ccccc2n1)Nc1cccc(Cl)c1,ZINC000918709809,0.562500,0.807258,6,0.052640
SC(=NN=Cc1c2ccccc2cc2ccccc12)Nc1ccccc1,ZINC000252611995,0.565217,0.807250,4,0.051044
CSCCNC(=S)N(Cc1cccc2ccccc12)c1ccccc1,ZINC000776269487,0.666667,0.807168,2,0.051289
C[C@H](NC(=S)NNC(=O)c1sc2ccccc2c1Cl)c1ccccc1,ZINC000008221708,0.698413,0.807148,4,0.050547
CCNC(=S)N/N=C/c1cn(CC(=O)Nc2ccc(Cl)cc2)c2ccccc12,ZINC000033644200,0.626866,0.807077,4,0.064044
S=C(NCc1ccccc1)N/N=C\c1cn(Cc2ccc3ccccc3c2)c2ccccc12,ZINC000409218154,0.533333,0.806890,11,0.195983
CC/N=C(/S)NN(c1ccccc1)c1ccccc1,ZINC000008680902,0.513514,0.806714,3,0.050178
S=C(NNc1ccc2ccccc2n1)Nc1ccc(Br)cc1,ZINC000783714517,0.653846,0.806709,8,0.050457
Cc1ccc2nc(Cl)c(/C=N/NC(N)=S)cc2c1,ZINC000000366943,0.519231,0.806653,12,0.097354
O=C(NC(=S)NCCOCc1ccc(Cl)cc1)c1cncc(Br)c1,ZINC000002121722,0.476190,0.806650,5,0.078038
C[C@H](NC(=S)NN=Cc1cnc2ccccc2n1)c1ccc(Cl)cc1Cl,ZINC000727062680,0.671875,0.806629,15,0.052861
S=C(NNc1ccc2ccccc2n1)Nc1cccc(Cl)c1,ZINC000047367958,0.606557,0.806591,7,0.051302
